Gender,Age,Annual Income ($),Spending Score (1-100),Profession,Work Experience,Family Size
Male,19,15000,39,Healthcare,1,4
Male,21,35000,81,Engineer,3,3
Female,20,86000,6,Engineer,1,1
Female,23,59000,77,Lawyer,0,2
Female,31,38000,40,Entertainment,2,6
Female,22,58000,76,Artist,0,2
Female,35,31000,6,Healthcare,1,3
Female,23,84000,94,Healthcare,1,3
Male,64,97000,3,Engineer,0,3
Female,30,98000,72,Artist,1,4
Male,67,7000,14,Engineer,1,3
Female,35,93000,99,Healthcare,4,4
Female,58,80000,15,Executive,0,5
Female,24,91000,77,Lawyer,1,1
Male,37,19000,13,Doctor,0,1
Male,22,51000,79,Healthcare,1,2
Female,35,29000,35,Homemaker,9,5
Male,20,89000,66,Healthcare,1,6
Male,52,20000,29,Entertainment,1,4
Female,35,62000,98,Artist,0,1
Male,35,96000,35,Homemaker,12,1
Male,25,4000,73,Healthcare,3,4
Female,46,42000,5,Artist,13,2
Male,31,71000,73,Artist,5,2
Female,54,67000,14,Executive,1,3
Male,29,52000,82,Artist,1,3
Female,45,68000,32,Healthcare,9,8
Male,35,78000,61,Artist,1,3
Female,40,18000,31,Artist,0,1
Female,23,20000,87,Artist,5,4
Male,60,39000,4,Artist,0,3
Female,21,34000,73,Doctor,1,2
Male,53,59000,4,Healthcare,1,3
Male,18,62000,92,Homemaker,9,7
Female,49,91000,14,Lawyer,1,2
Female,21,95000,81,Healthcare,3,4
Female,42,14000,17,Doctor,5,1
Female,30,62000,73,Healthcare,1,5
Female,36,9000,26,Artist,8,2
Female,20,69000,75,Artist,8,2
Female,65,25000,35,Artist,4,1
Male,24,85000,92,Healthcare,0,2
Male,48,22000,36,Artist,14,3
Female,31,33000,61,Artist,1,2
Female,49,72000,28,Engineer,8,1
Female,24,3000,65,Lawyer,4,2
Female,50,52000,55,Artist,0,4
Female,27,71000,47,Healthcare,12,1
Female,29,78000,42,Healthcare,0,4
Female,31,25000,42,Engineer,1,1
